iter	Logloss
0	0.6725827677
1	0.6534338308
2	0.6359635324
3	0.6220615195
4	0.6087249014
5	0.5956017219
6	0.5842415477
7	0.5737061011
8	0.5645486872
9	0.5547909165
10	0.5456837748
11	0.5383972575
12	0.5316793697
13	0.5250090694
14	0.5186054997
15	0.5130878261
16	0.5061214718
17	0.5013742087
18	0.4968915003
19	0.4921373869
20	0.4882824621
21	0.4845887861
22	0.4812888169
23	0.4776808571
24	0.4746719391
25	0.4715436565
26	0.469120606
27	0.4657392549
28	0.4627650681
29	0.4605213178
30	0.4584486131
31	0.4565730007
32	0.4548446732
33	0.4531931645
34	0.4516113003
35	0.4502092222
36	0.4482387756
37	0.4468651698
38	0.4456102606
39	0.4432302474
40	0.4422270032
41	0.4412396471
42	0.440356763
43	0.4394883594
44	0.4383297944
45	0.4376025005
46	0.4365774642
47	0.435759655
48	0.4347957622
49	0.4342224871
50	0.4336416371
51	0.4330492296
52	0.4325144157
53	0.4319302235
54	0.4311857349
55	0.4303586813
56	0.4300001238
57	0.4296011589
58	0.4292292802
59	0.4288542067
60	0.4285079894
61	0.4281110999
62	0.4277754233
63	0.4270420721
64	0.4267625272
65	0.4264764093
66	0.4260467149
67	0.4256952758
68	0.4253663714
69	0.4251396719
70	0.4244024505
71	0.4239668414
72	0.4235947875
73	0.4234250183
74	0.4232618232
75	0.42308424
76	0.4229276886
77	0.4227337684
78	0.4225728184
79	0.422308841
80	0.4221329383
81	0.4220011487
82	0.4218776858
83	0.4217532174
84	0.421557749
85	0.4214372862
86	0.421235705
87	0.4211383327
88	0.4210449314
89	0.4207604009
90	0.4205069543
91	0.4204010248
92	0.4202924403
93	0.4201973086
94	0.4199456605
95	0.4198492536
96	0.4197532478
97	0.4195302258
98	0.4194073454
99	0.4193136917
100	0.4191146198
101	0.419038425
102	0.4188708511
103	0.4187805376
104	0.4186142463
105	0.418550892
106	0.4184974043
107	0.4184399583
108	0.4183668927
109	0.4182864577
110	0.4181535439
111	0.4179744671
112	0.4178541711
113	0.4177797386
114	0.4175305288
115	0.4174633997
116	0.4173407518
117	0.417278156
118	0.4171780838
119	0.4171252427
120	0.4169696767
121	0.4169192613
122	0.4168776633
123	0.4168288217
124	0.4167829914
125	0.4166620235
126	0.4165784046
127	0.4165289541
128	0.4164669502
129	0.4164151757
130	0.4163838259
131	0.4163484568
132	0.4162963389
133	0.4162427025
134	0.416200484
135	0.4161435062
136	0.4160867039
137	0.415994989
138	0.415946682
139	0.4158879076
140	0.4157903664
141	0.4157356387
142	0.4156974418
143	0.415567471
144	0.415506365
145	0.4154723079
146	0.4154307838
147	0.4153831124
148	0.4153542457
149	0.415273889
150	0.415239534
151	0.415155392
152	0.4150558754
153	0.4150180199
154	0.4149858617
155	0.4149483988
156	0.4148624934
157	0.4148247142
158	0.4146925093
159	0.4146247276
160	0.4145796131
161	0.4145409684
162	0.4144506221
163	0.4143572893
164	0.4143241324
165	0.4142704861
166	0.4142436759
167	0.4142118199
168	0.4141397164
169	0.4140596223
170	0.4140270632
171	0.4140047467
172	0.4139761949
173	0.4138856084
174	0.4138522503
175	0.4138173669
176	0.4137907219
177	0.4137521501
178	0.4137254015
179	0.413694398
180	0.4136727996
181	0.4136380445
182	0.4135992565
183	0.4135582999
184	0.4135055056
185	0.4134469654
186	0.4133979728
187	0.4133582331
188	0.413311528
189	0.413231003
190	0.413188998
191	0.4131433288
192	0.4130883743
193	0.4130075371
194	0.4129752492
195	0.4129477766
196	0.4129189347
197	0.4128755696
198	0.4128456352
199	0.4127777811
200	0.412743285
201	0.4126972269
202	0.4126415651
203	0.4126180198
204	0.4125868676
205	0.4125650855
206	0.412531853
207	0.4124997311
208	0.4124725329
209	0.4124350944
210	0.4123918828
211	0.4123630282
212	0.4123430492
213	0.4123142434
214	0.4122942715
215	0.4122196303
216	0.4121593755
217	0.4121149021
218	0.4120920416
219	0.4119864858
220	0.4119625746
221	0.4119264872
222	0.4119024213
223	0.4118650375
224	0.4118240406
225	0.4117913644
226	0.411759702
227	0.4117080712
228	0.4116703448
229	0.4116381469
230	0.4115971253
231	0.4115662416
232	0.4115440422
233	0.4115162524
234	0.4114848024
235	0.4114588125
236	0.411428889
237	0.4113867647
238	0.4113652714
239	0.4113524242
240	0.4113282733
241	0.4113021121
242	0.4112767633
243	0.4112391731
244	0.4112054934
245	0.4111819659
246	0.4111556357
247	0.4111342073
248	0.4110936879
249	0.4110656346
250	0.4110357018
251	0.4109960137
252	0.4109209035
253	0.4108917582
254	0.4108600157
255	0.4108311014
256	0.4107921068
257	0.4107569102
258	0.410726377
259	0.4107013752
260	0.4106840305
261	0.4106232901
262	0.4106007059
263	0.4105613165
264	0.4105349017
265	0.4104951314
266	0.4104694619
267	0.4104403242
268	0.4104039161
269	0.4103760912
270	0.4103409685
271	0.4103254649
272	0.410295109
273	0.4102705268
274	0.4102259167
275	0.4101987197
276	0.4101619895
277	0.410116542
278	0.4100994761
279	0.4100619805
280	0.4100387019
281	0.4100191105
282	0.4099867917
283	0.4099590876
284	0.4099271779
285	0.4099077962
286	0.4098783499
287	0.4098503369
288	0.4098225178
289	0.4097923146
290	0.409774952
291	0.4097528965
292	0.409729071
293	0.4097095091
294	0.409676795
295	0.4096518471
296	0.4096285317
297	0.4096026454
298	0.4095786016
299	0.4095634224
300	0.4095374983
301	0.409508232
302	0.4094704286
303	0.4094380962
304	0.4094057089
305	0.4093944396
306	0.4093800287
307	0.4093444765
308	0.4092971947
309	0.4092693642
310	0.4092485343
311	0.4092206393
312	0.4091824104
313	0.4091594207
314	0.4091352508
315	0.4090936605
316	0.4090681064
317	0.4090345845
318	0.4090104676
319	0.4089874645
320	0.4089643333
321	0.4089280729
322	0.4089073511
323	0.4088804923
324	0.4088643607
325	0.4088304506
326	0.4088058667
327	0.4087752195
328	0.4087442455
329	0.4087176442
330	0.408693899
331	0.4086780654
332	0.4086496213
333	0.4086214833
334	0.4085918987
335	0.4085770783
336	0.4085570281
337	0.4085268769
338	0.4085038309
339	0.4084861521
340	0.4084520522
341	0.4084047473
342	0.4083849496
343	0.4083587238
344	0.408328224
345	0.4082972816
346	0.4082659014
347	0.4082451912
348	0.4082137877
349	0.408187632
350	0.4081735667
351	0.4081473122
352	0.4081278243
353	0.4080912622
354	0.4080667854
355	0.408035797
356	0.4080005745
357	0.4079721821
358	0.4079393557
359	0.4079092326
360	0.4078839689
361	0.4078485244
362	0.4078235654
363	0.4077907792
364	0.4077701961
365	0.4077405316
366	0.4077157048
367	0.4076897444
368	0.4076376983
369	0.4076111646
370	0.407574548
371	0.4075544923
372	0.4075331466
373	0.4075142489
374	0.4074964691
375	0.4074661745
376	0.4074438507
377	0.4074118034
378	0.4073763857
379	0.4073522614
380	0.4073359063
381	0.4073208387
382	0.4072868079
383	0.407260515
384	0.407236879
385	0.4072014261
386	0.4071689593
387	0.4071396298
388	0.4070966143
389	0.4070645516
390	0.4070270927
391	0.4070026032
392	0.4069820772
393	0.406957432
394	0.4069400127
395	0.4069156684
396	0.4068897262
397	0.4068628725
398	0.4068336797
399	0.4068136608
400	0.4067914399
401	0.4067668098
402	0.4067520938
403	0.4067225987
404	0.4066985724
405	0.4066706785
406	0.4066448108
407	0.4066085868
408	0.406584618
409	0.4065592491
410	0.4065379448
411	0.4065099118
412	0.4064746879
413	0.4064432449
414	0.4064258143
415	0.4063899221
416	0.4063580497
417	0.4063528985
418	0.4063215746
419	0.4062974584
420	0.4062669681
421	0.4062423628
422	0.4062255199
423	0.4062123145
424	0.4061838855
425	0.4061586156
426	0.4061324854
427	0.4061221012
428	0.4060998417
429	0.4060773363
430	0.4060572376
431	0.4060373037
432	0.4060125033
433	0.4059836105
434	0.405967201
435	0.405936113
436	0.4059030366
437	0.4058921147
438	0.4058856718
439	0.405860943
440	0.405832232
441	0.4058035712
442	0.4057801852
443	0.4057380589
444	0.4057128556
445	0.4056881439
446	0.4056566621
447	0.4056193989
448	0.4055930365
449	0.405558994
450	0.4055417789
451	0.4055036457
452	0.4054740012
453	0.4054473729
454	0.4054402991
455	0.4054134817
456	0.4053926051
457	0.4053872596
458	0.4053867271
459	0.4053620172
460	0.4053360823
461	0.4053343198
462	0.4053042705
463	0.4052824572
464	0.4052556058
465	0.4052331437
466	0.405212384
467	0.4051866703
468	0.4051505343
469	0.4051498821
470	0.4051198844
471	0.4051000476
472	0.4050695601
473	0.4050490936
474	0.4050132608
475	0.4049836393
476	0.4049796109
477	0.4049479471
478	0.4049204871
479	0.4048925639
480	0.4048742305
481	0.4048505753
482	0.4048307038
483	0.404797812
484	0.4047738313
485	0.404741315
486	0.4047113269
487	0.4046846848
488	0.4046619681
489	0.4046419109
490	0.4046174226
491	0.4045867332
492	0.4045515122
493	0.404514504
494	0.4044888482
495	0.4044603334
496	0.4044456444
497	0.4044145794
498	0.404384245
499	0.4043835846
500	0.4043657339
501	0.4043420167
502	0.4043099663
503	0.4042816437
504	0.404255893
505	0.4042337526
506	0.404197764
507	0.4041516509
508	0.4041204695
509	0.4041027538
510	0.4040833875
511	0.4040554083
512	0.4040300405
513	0.4040092178
514	0.4039911725
515	0.4039733205
516	0.4039488099
517	0.4039092928
518	0.4038759
519	0.4038396586
520	0.4038147158
521	0.4037930318
522	0.4037713512
523	0.4037450431
524	0.403706547
525	0.4037057999
526	0.40368628
527	0.4036704616
528	0.4036457417
529	0.4036170956
530	0.4035843667
531	0.4035655367
532	0.40353762
533	0.4035034125
534	0.4034848204
535	0.4034632669
536	0.4034336805
537	0.4034034683
538	0.4033682688
539	0.4033263105
540	0.4032995208
541	0.4032661963
542	0.403239281
543	0.4032064151
544	0.4031759465
545	0.4031465833
546	0.4031459187
547	0.4031206699
548	0.4030865124
549	0.4030611833
550	0.4030605766
551	0.403032893
552	0.4030031849
553	0.4029765793
554	0.4029475576
555	0.4029184368
556	0.4028949625
557	0.4028616624
558	0.402831267
559	0.4028112933
560	0.4027895006
561	0.4027584355
562	0.4027299205
563	0.4026942501
564	0.4026533644
565	0.4026305218
566	0.4026009773
567	0.402569384
568	0.4025424702
569	0.4025061821
570	0.4024911344
571	0.4024584717
572	0.4024316238
573	0.4024039601
574	0.4023783508
575	0.4023507316
576	0.402334354
577	0.402333863
578	0.4023334007
579	0.4023097316
580	0.4022763301
581	0.4022757729
582	0.4022508783
583	0.4022172235
584	0.4021968756
585	0.4021718209
586	0.4021608287
587	0.4021244433
588	0.4020989671
589	0.4020685027
590	0.4020389709
591	0.4020093642
592	0.4019868598
593	0.4019713859
594	0.4019497
595	0.4019233055
596	0.4018969318
597	0.4018662206
598	0.4018314575
599	0.4018039494
600	0.4017804142
601	0.4017607136
602	0.4017328655
603	0.4016998714
604	0.4016681733
605	0.4016455798
606	0.4016114448
607	0.4015839271
608	0.401554413
609	0.4015301027
610	0.4014964027
611	0.4014666039
612	0.4014333007
613	0.4014001545
614	0.4013864069
615	0.4013468597
616	0.4013175614
617	0.4012897876
618	0.4012587293
619	0.4012396385
620	0.4012196037
621	0.4011944265
622	0.4011691268
623	0.4011319476
624	0.4010986493
625	0.4010657177
626	0.4010439566
627	0.4010189331
628	0.4009983776
629	0.4009666909
630	0.4009426276
631	0.4009220091
632	0.4008975933
633	0.4008627168
634	0.4008400314
635	0.4008191927
636	0.4007980468
637	0.400777642
638	0.4007769733
639	0.4007464609
640	0.4007177097
641	0.4007036334
642	0.4006810082
643	0.4006479507
644	0.4006140497
645	0.4005797549
646	0.4005537447
647	0.4005304406
648	0.4005113602
649	0.4004984798
650	0.4004710573
651	0.4004465428
652	0.4004308614
653	0.4003996168
654	0.4003837109
655	0.4003568422
656	0.4003243637
657	0.4003239138
658	0.4002938396
659	0.4002686134
660	0.4002461219
661	0.4002164815
662	0.4001786796
663	0.4001440728
664	0.4001200154
665	0.4000890437
666	0.4000547551
667	0.4000282819
668	0.4000008631
669	0.39997523
670	0.3999469489
671	0.3999250944
672	0.3999080048
673	0.3998785699
674	0.3998551089
675	0.3998321871
676	0.3998119931
677	0.39977908
678	0.3997592244
679	0.3997374926
680	0.3997230617
681	0.3997025931
682	0.3996795283
683	0.3996515257
684	0.3996328355
685	0.3996057288
686	0.3995804348
687	0.3995524363
688	0.3995259765
689	0.3995016633
690	0.3994806135
691	0.3994519227
692	0.399423622
693	0.3993944745
694	0.3993748996
695	0.3993535546
696	0.3993327922
697	0.399321006
698	0.3992902443
699	0.3992547955
700	0.3992339491
701	0.399233557
702	0.3992086333
703	0.3991883227
704	0.3991751696
705	0.399174794
706	0.3991498498
707	0.3991363372
708	0.3991049268
709	0.3991044315
710	0.3990658261
711	0.3990473277
712	0.3990230737
713	0.3990049575
714	0.3989822791
715	0.3989555242
716	0.3989252913
717	0.3989001957
718	0.3988766095
719	0.3988614609
720	0.3988354429
721	0.3988140116
722	0.3987927123
723	0.3987693841
724	0.3987521791
725	0.3987234604
726	0.3986965895
727	0.398672742
728	0.3986495207
729	0.3986269682
730	0.3985985984
731	0.3985789987
732	0.3985655288
733	0.3985235148
734	0.3985230195
735	0.3985051855
736	0.3984706946
737	0.3984498794
738	0.3984341899
739	0.3984112972
740	0.3983893573
741	0.3983686004
742	0.3983408504
743	0.3983261919
744	0.3982871783
745	0.3982592185
746	0.3982388022
747	0.3982193968
748	0.3982020758
749	0.3981751499
750	0.3981505232
751	0.3981388578
752	0.3981141067
753	0.3980941376
754	0.3980610858
755	0.398037392
756	0.3980109844
757	0.3980105345
758	0.3979959692
759	0.3979957216
760	0.3979668861
761	0.3979368335
762	0.3979162717
763	0.3978869997
764	0.3978865911
765	0.3978601637
766	0.3978446333
767	0.3978186339
768	0.3977979049
769	0.3977711101
770	0.3977560385
771	0.3977327124
772	0.397704621
773	0.3976876793
774	0.39766627
775	0.3976391316
776	0.3976160542
777	0.3975895202
778	0.3975598714
779	0.3975420568
780	0.3975263775
781	0.3975079452
782	0.3974905118
783	0.3974751556
784	0.3974483111
